日期	鞍部	臺北	基隆	新屋	新竹	板橋	淡水	桃園	苗栗
2016/07/01	8	10	9	11	10	8	9	9	9
2016/07/02	5	9	9	11	9	6	10	9	11
2016/07/03	8	9	10	10	8	8	10	8	10
2016/07/04	7	9	11	10	9	8	10	10	10
2016/07/05	8	13	12	9	8	11	11	9	11
2016/07/06	10	12	11	10	9	11	11	11	10
2016/07/07	3	13	11	11	11	10	10	11	13
2016/07/08	1	3	3	1	1	2	3	2	2
2016/07/09	6	9	5	9	7	9	9	7	10
2016/07/10	6	10	5	9	-	9	10	9	12
2016/07/11	6	8	2	11	-	7	8	7	12
2016/07/12	5	12	11	11	11	11	10	9	11
2016/07/13	8	10	11	11	11	11	9	10	12
2016/07/14	7	7	9	11	11	8	11	9	11
2016/07/15	9	10	10	11	11	11	11	10	11
2016/07/16	7	12	11	11	11	12	10	11	12
2016/07/17	9	10	10	11	11	10	10	10	11
2016/07/18	9	10	9	11	10	9	8	8	10
2016/07/19	5	10	9	11	11	9	8	8	11
2016/07/20	6	10	8	11	10	11	10	9	11
2016/07/21	5	10	9	11	11	9	11	9	11
2016/07/22	6	10	9	11	11	11	10	10	11
2016/07/23	8	10	8	11	11	10	11	10	11
2016/07/24	4	8	9	10	10	7	9	7	10
2016/07/25	5	7	8	10	9	9	9	10	10
2016/07/26	7	8	8	10	10	8	9	9	10
2016/07/27	8	9	9	10	10	10	10	11	11
2016/07/28	9	10	9	9	9	10	9	9	10
2016/07/29	6	8	9	9	9	9	9	10	10
2016/07/30	10	9	10	8	7	10	9	10	9
2016/07/31	9	11	10	10	10	11	11	11	10
